供应商ID,材料分类,总供货量,活跃度,稳定性,可靠性,充足率,TOPSIS得分,材料权重,最终得分,排名
S232,B,119.0,0.10833333333333334,0.0999000999000999,0.575,1.0,0.03196455169722631,1.2,0.03835746203667157,178
S358,B,34.0,0.041666666666666664,0.0999000999000999,0.6666666666666666,1.0,0.03173193921915357,1.2,0.03807832706298429,179
S303,B,54.0,0.0375,0.0999000999000999,0.6428571428571429,1.0,0.03166970756260319,1.2,0.03800364907512383,180
S327,B,35.0,0.07083333333333333,0.0999000999000999,0.5172413793103449,1.0,0.03157894028639283,1.2,0.0378947283436714,181
S379,C,249.0,0.15,0.17916944069721322,0.972972972972973,1.1,0.03669004523651583,1.0,0.03669004523651583,182
S362,C,91.0,0.2875,0.0999000999000999,0.9857142857142858,1.0,0.03572300990024979,1.0,0.03572300990024979,183
S096,A,73.0,0.11666666666666667,0.0999000999000999,0.46296296296296297,0.6666666666666667,0.02219902877216069,1.6,0.035518446035457105,184
S271,C,247.0,0.20416666666666666,0.2508099143780172,0.7096774193548387,1.0,0.03531298596720301,1.0,0.03531298596720301,185
S270,C,92.0,0.24166666666666667,0.0999000999000999,0.859375,1.0,0.03446340308818192,1.0,0.03446340308818192,186
S267,C,82.0,0.25833333333333336,0.0999000999000999,0.5393258426966292,1.0,0.03412314411919786,1.0,0.03412314411919786,187
S357,C,220.0,0.225,0.0999000999000999,0.75,1.0,0.033907698661083,1.0,0.033907698661083,188
S351,C,44.0,0.15416666666666667,0.0999000999000999,0.9487179487179487,1.0,0.03334000230964334,1.0,0.03334000230964334,189
S039,C,385.0,0.1875,0.14076448263392521,0.6349206349206349,1.0,0.03324262090206768,1.0,0.03324262090206768,190
S331,C,70.0,0.20833333333333334,0.0999000999000999,0.5135135135135135,1.0,0.03315285463108381,1.0,0.03315285463108381,191
S339,C,44.0,0.18333333333333332,0.0999000999000999,0.5833333333333334,1.0,0.03287316375464944,1.0,0.03287316375464944,192
S279,C,89.0,0.15,0.0999000999000999,0.6938775510204082,1.0,0.032644044057073766,1.0,0.032644044057073766,193
S301,C,89.0,0.12916666666666668,0.0999000999000999,0.75,1.0,0.03253387859554939,1.0,0.03253387859554939,194
S035,A,144.0,0.22916666666666666,0.0999000999000999,0.42,0.5,0.02025068300938673,1.6,0.03240109281501877,195
S359,C,86.0,0.1375,0.0999000999000999,0.6458333333333334,1.0,0.03239550763965614,1.0,0.03239550763965614,196
S011,C,85.0,0.13333333333333333,0.0999000999000999,0.6511627906976745,1.0,0.032360024291406164,1.0,0.032360024291406164,197
S383,C,147.0,0.1125,0.0999000999000999,0.7352941176470589,1.0,0.03233912219734487,1.0,0.03233912219734487,198
S070,C,46.0,0.10833333333333334,0.0999000999000999,0.7428571428571429,1.0,0.032311999182964624,1.0,0.032311999182964624,199
S280,B,127.0,0.3125,0.0999000999000999,0.47413793103448276,0.6666666666666666,0.026916063608647244,1.2,0.03229927633037669,200
S033,C,30.0,0.07083333333333333,0.0999000999000999,0.8421052631578947,1.0,0.03228688412262308,1.0,0.03228688412262308,201
S090,C,145.0,0.12083333333333333,0.0999000999000999,0.627906976744186,1.0,0.03218652738177004,1.0,0.03218652738177004,202
S305,C,28.0,0.06666666666666667,0.0999000999000999,0.75,1.0,0.0320302942258207,1.0,0.0320302942258207,203
S044,C,30.0,0.058333333333333334,0.0999000999000999,0.7647058823529411,1.0,0.03202393202770428,1.0,0.03202393202770428,204
S182,C,153.0,0.1125,0.0999000999000999,0.5416666666666666,1.0,0.03194557291253024,1.0,0.03194557291253024,205
S013,C,44.0,0.08333333333333333,0.0999000999000999,0.6551724137931034,1.0,0.03191993760510875,1.0,0.03191993760510875,206
S349,C,42.0,0.09583333333333334,0.0999000999000999,0.5714285714285714,1.0,0.03184709730559879,1.0,0.03184709730559879,207
S236,C,28.0,0.06666666666666667,0.0999000999000999,0.6,1.0,0.031704799437018275,1.0,0.031704799437018275,208
S159,A,215.0,0.19583333333333333,0.0999000999000999,0.4634146341463415,0.5,0.019365135539041577,1.6,0.030984216862466524,209
S209,A,163.0,0.15416666666666667,0.0999000999000999,0.3972602739726027,0.5,0.018118515594955958,1.6,0.028989624951929534,210
S313,C,384.0,0.15833333333333333,0.26453222436485535,0.463768115942029,0.78,0.028777611072410027,1.0,0.028777611072410027,211
S226,A,200.0,0.14166666666666666,0.0999000999000999,0.4406779661016949,0.5,0.017945161729339076,1.6,0.028712258766942524,212
S024,B,124.0,0.1875,0.0999000999000999,0.44155844155844154,0.6666666666666666,0.023448524098171934,1.2,0.02813822891780632,213
S117,B,123.0,0.25416666666666665,0.0999000999000999,0.4387755102040816,0.5,0.02110254411577379,1.2,0.025323052938928548,214
S377,C,71.0,0.12916666666666668,0.0999000999000999,0.49122807017543857,0.75,0.024822032767492574,1.0,0.024822032767492574,215
S214,B,52.0,0.21666666666666667,0.0999000999000999,0.45161290322580644,0.5,0.01993300081304734,1.2,0.023919600975656808,216
S176,B,51.0,0.2125,0.0999000999000999,0.4875,0.5,0.019898178091558985,1.2,0.02387781370987078,217
S299,A,62.0,0.25833333333333336,0.0999000999000999,0.34558823529411764,0.0,0.014195614561854274,1.6,0.02271298329896684,218
S249,B,67.0,0.12916666666666668,0.0999000999000999,0.45,0.5,0.01769890323900878,1.2,0.021238683886810536,219
S048,B,65.0,0.10833333333333334,0.0999000999000999,0.44,0.5,0.017281876891662554,1.2,0.020738252269995063,220
S264,B,32.0,0.020833333333333332,0.0999000999000999,0.5,0.5,0.016564094703589737,1.2,0.019876913644307683,221
S255,A,36.0,0.075,0.0999000999000999,0.4444444444444444,0.25,0.009948330073267158,1.6,0.015917328117227455,222
S380,C,85.0,0.10416666666666667,0.0999000999000999,0.46,0.4,0.014516181173749686,1.0,0.014516181173749686,223
S242,A,79.0,0.12083333333333333,0.0999000999000999,0.38461538461538464,0.0,0.007526328334066748,1.6,0.012042125334506798,224
S370,A,58.0,0.10416666666666667,0.0999000999000999,0.48,0.0033333333333333335,0.0074251920108365,1.6,0.0118803072173384,225
S121,A,137.0,0.10833333333333334,0.0999000999000999,0.4444444444444444,0.0,0.007353347368453309,1.6,0.011765355789525296,226
S097,A,63.0,0.125,0.0999000999000999,0.2972972972972973,0.0,0.007278595984052279,1.6,0.011645753574483646,227
S205,A,60.0,0.125,0.0999000999000999,0.29577464788732394,0.0,0.007271639353533023,1.6,0.011634622965652838,228
S120,B,33.0,0.06666666666666667,0.0999000999000999,0.40625,0.25,0.009600568280766896,1.2,0.011520681936920275,229
S184,A,73.0,0.10833333333333334,0.0999000999000999,0.41509433962264153,0.0,0.007157179541546693,1.6,0.01145148726647471,230
S341,A,63.0,0.1125,0.0999000999000999,0.35,0.0,0.006951759795559284,1.6,0.011122815672894856,231
S145,A,63.0,0.11666666666666667,0.0999000999000999,0.3013698630136986,0.0,0.006894614987541423,1.6,0.011031383980066277,232
S167,A,136.0,0.11666666666666667,0.0999000999000999,0.3,0.0,0.0068930209482134675,1.6,0.011028833517141548,233
S059,C,47.0,0.19583333333333333,0.0999000999000999,0.3469387755102041,0.0,0.011003529157335646,1.0,0.011003529157335646,234
S207,C,154.0,0.18333333333333332,0.0999000999000999,0.4065934065934066,0.0,0.010613251238368012,1.0,0.010613251238368012,235
S082,A,58.0,0.1125,0.0999000999000999,0.2777777777777778,0.0,0.006581747268244798,1.6,0.010530795629191677,236
S042,A,138.0,0.10416666666666667,0.0999000999000999,0.3392857142857143,0.0,0.006517473249771697,1.6,0.010427957199634715,237
S234,C,45.0,0.1875,0.0999000999000999,0.27722772277227725,0.0,0.010355887075898332,1.0,0.010355887075898332,238
S130,A,60.0,0.11666666666666667,0.0999000999000999,0.19791666666666666,0.0,0.006467651128044305,1.6,0.010348241804870888,239
S017,A,138.0,0.10416666666666667,0.0999000999000999,0.31343283582089554,0.0,0.006372787603847097,1.6,0.010196460166155356,240
S187,A,74.0,0.10833333333333334,0.0999000999000999,0.27380952380952384,0.0,0.006362496709554992,1.6,0.010179994735287988,241
S243,A,63.0,0.1125,0.0999000999000999,0.22093023255813954,0.0,0.006339513620481471,1.6,0.010143221792770354,242
S127,A,158.0,0.1,0.0999000999000999,0.328125,0.0,0.0062674222373968955,1.6,0.010027875579835033,243
S185,A,64.0,0.10833333333333334,0.0999000999000999,0.24096385542168675,0.0,0.006213394901676399,1.6,0.009941431842682239,244
S049,A,38.0,0.07916666666666666,0.0999000999000999,0.4418604651162791,0.0,0.0061947696623910285,1.6,0.009911631459825647,245
S148,A,59.0,0.1125,0.0999000999000999,0.175,0.0,0.006178739239323705,1.6,0.009885982782917928,246
S196,A,40.0,0.08333333333333333,0.0999000999000999,0.4166666666666667,0.0,0.006154345993752622,1.6,0.009846953590004197,247
S104,A,155.0,0.10416666666666667,0.0999000999000999,0.2638888888888889,0.0,0.0061215373571768565,1.6,0.009794459771482971,248
S278,A,62.0,0.10833333333333334,0.0999000999000999,0.21686746987951808,0.0,0.006114343497807998,1.6,0.009782949596492799,249
S261,B,69.0,0.12916666666666668,0.0999000999000999,0.4153846153846154,0.0,0.008077786069135465,1.2,0.009693343282962558,250
S101,A,56.0,0.10416666666666667,0.0999000999000999,0.2328767123287671,0.0,0.005972670019134435,1.6,0.009556272030615097,251
S396,A,38.0,0.10416666666666667,0.0999000999000999,0.21978021978021978,0.0,0.005916985220489782,1.6,0.009467176352783652,252
S217,A,139.0,0.08333333333333333,0.0999000999000999,0.37209302325581395,0.0,0.005836517612782308,1.6,0.009338428180451693,253
S302,A,59.0,0.10416666666666667,0.0999000999000999,0.19101123595505617,0.0,0.005806034142777024,1.6,0.00928965462844324,254
S018,B,66.0,0.12916666666666668,0.0999000999000999,0.3472222222222222,0.0,0.007715528093764732,1.2,0.009258633712517679,255
S319,B,66.0,0.12916666666666668,0.0999000999000999,0.3380281690140845,0.0,0.007670446761229332,1.2,0.009204536113475199,256
S354,A,57.0,0.09583333333333334,0.0999000999000999,0.265625,0.0,0.0057247050523894704,1.6,0.009159528083823153,257
S158,A,37.0,0.08333333333333333,0.0999000999000999,0.35294117647058826,0.0,0.0056964144845144575,1.6,0.009114263175223132,258
S399,B,65.0,0.125,0.0999000999000999,0.36065573770491804,0.0,0.007587627167689889,1.2,0.009105152601227866,259
S322,B,68.0,0.12083333333333333,0.0999000999000999,0.390625,0.0,0.007559830022701286,1.2,0.009071796027241542,260
S004,B,64.0,0.1375,0.0999000999000999,0.20388349514563106,0.0,0.0075592634913254145,1.2,0.009071116189590497,261
S311,B,65.0,0.12916666666666668,0.0999000999000999,0.3125,0.0,0.0075502554191283445,1.2,0.009060306502954012,262
S401,B,67.0,0.12083333333333333,0.0999000999000999,0.373134328358209,0.0,0.007461832874208309,1.2,0.00895419944904997,263
S010,B,170.0,0.13333333333333333,0.0999000999000999,0.22727272727272727,0.0,0.007427482032725816,1.2,0.00891297843927098,264
S200,B,65.0,0.125,0.0999000999000999,0.3287671232876712,0.0,0.007426331934797104,1.2,0.008911598321756524,265
S363,A,56.0,0.07916666666666666,0.0999000999000999,0.34782608695652173,0.0,0.0054921284809809805,1.6,0.008787405569569568,266
S248,B,69.0,0.125,0.0999000999000999,0.3058823529411765,0.0,0.007317949675706897,1.2,0.008781539610848276,267
S323,A,29.0,0.05,0.0999000999000999,0.46153846153846156,0.0,0.005472899482636693,1.6,0.008756639172218708,268
S118,B,66.0,0.11666666666666667,0.0999000999000999,0.35714285714285715,0.0,0.0071825176030218055,1.2,0.008619021123626166,269
S109,A,36.0,0.07916666666666666,0.0999000999000999,0.32142857142857145,0.0,0.005310335780679908,1.6,0.008496537249087853,270
S038,A,36.0,0.09166666666666666,0.0999000999000999,0.1875,0.0,0.0051614012576947895,1.6,0.008258242012311663,271
S195,A,36.0,0.07083333333333333,0.0999000999000999,0.34146341463414637,0.0,0.005117251881586943,1.6,0.00818760301053911,272
S079,B,64.0,0.1,0.0999000999000999,0.40384615384615385,0.0,0.006730974200647149,1.2,0.008077169040776579,273
S029,B,68.0,0.12083333333333333,0.0999000999000999,0.2111111111111111,0.0,0.00672603802079551,1.2,0.008071245624954612,274
S155,A,40.0,0.07916666666666666,0.0999000999000999,0.2777777777777778,0.0,0.005029925271644892,1.6,0.008047880434631827,275
S198,A,54.0,0.09166666666666666,0.0999000999000999,0.14942528735632185,0.0,0.005022160189376422,1.6,0.008035456303002276,276
S317,A,29.0,0.0875,0.0999000999000999,0.2,0.0,0.005007375471661007,1.6,0.008011800754657612,277
S072,A,28.0,0.07083333333333333,0.0999000999000999,0.3170731707317073,0.0,0.004939985426799205,1.6,0.00790397668287873,278
S083,A,28.0,0.058333333333333334,0.0999000999000999,0.375,0.0,0.004938439101988094,1.6,0.007901502563180951,279
S350,A,39.0,0.08333333333333333,0.0999000999000999,0.22666666666666666,0.0,0.004933279708364654,1.6,0.007893247533383446,280
S105,B,120.0,0.10416666666666667,0.0999000999000999,0.34545454545454546,0.0,0.006551474610240285,1.2,0.007861769532288341,281
